"asset_id","asset_code","asset_type","department","location_id","criticality","condition","last_maintenance","next_maintenance","status"
"AST-0001","ENG-TRK-0001","Track","Engineering","LOC-001","High","Poor","2026-04-05","2026-10-04","Operational"
"AST-0002","ENG-TO-0002","Turnout","Engineering","LOC-001","High","Critical","2026-05-06","2026-11-05","Under Observation"
"AST-0003","TD-OHE-0003","OHE Mast","Traction Distribution","LOC-001","Critical","Good","2026-06-07","2026-09-06","Maintenance In Progress"
"AST-0004","TD-TSS-0004","Traction Substation","Traction Distribution","LOC-001","Medium","Fair","2026-07-08","2026-10-07","Operational"
"AST-0005","ST-SIG-0005","Signal","Signal & Telecommunication","LOC-001","High","Poor","2026-03-09","2026-11-08","Operational"
"AST-0006","ST-AXC-0006","Axle Counter","Signal & Telecommunication","LOC-001","High","Critical","2026-04-10","2026-09-09","Under Observation"
"AST-0007","ENG-TRK-0007","Track","Engineering","LOC-002","Critical","Good","2026-05-11","2026-10-10","Maintenance In Progress"
"AST-0008","ENG-TO-0008","Turnout","Engineering","LOC-002","Medium","Fair","2026-06-12","2026-11-11","Operational"
"AST-0009","TD-OHE-0009","OHE Mast","Traction Distribution","LOC-002","High","Poor","2026-07-13","2026-09-12","Operational"
"AST-0010","TD-TSS-0010","Traction Substation","Traction Distribution","LOC-002","High","Critical","2026-03-14","2026-10-13","Under Observation"
"AST-0011","ST-SIG-0011","Signal","Signal & Telecommunication","LOC-002","Critical","Good","2026-04-15","2026-11-14","Maintenance In Progress"
"AST-0012","ST-AXC-0012","Axle Counter","Signal & Telecommunication","LOC-002","Medium","Fair","2026-05-16","2026-09-15","Operational"
"AST-0013","ENG-TRK-0013","Track","Engineering","LOC-003","High","Poor","2026-06-17","2026-10-16","Operational"
"AST-0014","ENG-TO-0014","Turnout","Engineering","LOC-003","High","Critical","2026-07-18","2026-11-17","Under Observation"
"AST-0015","TD-OHE-0015","OHE Mast","Traction Distribution","LOC-003","Critical","Good","2026-03-19","2026-09-18","Maintenance In Progress"
"AST-0016","TD-TSS-0016","Traction Substation","Traction Distribution","LOC-003","Medium","Fair","2026-04-20","2026-10-19","Operational"
"AST-0017","ST-SIG-0017","Signal","Signal & Telecommunication","LOC-003","High","Poor","2026-05-21","2026-11-20","Operational"
"AST-0018","ST-AXC-0018","Axle Counter","Signal & Telecommunication","LOC-003","High","Critical","2026-06-22","2026-09-21","Under Observation"
"AST-0019","ENG-TRK-0019","Track","Engineering","LOC-004","Critical","Good","2026-07-23","2026-10-22","Maintenance In Progress"
"AST-0020","ENG-TO-0020","Turnout","Engineering","LOC-004","Medium","Fair","2026-03-24","2026-11-23","Operational"
"AST-0021","TD-OHE-0021","OHE Mast","Traction Distribution","LOC-004","High","Poor","2026-04-25","2026-09-24","Operational"
"AST-0022","TD-TSS-0022","Traction Substation","Traction Distribution","LOC-004","High","Critical","2026-05-26","2026-10-25","Under Observation"
"AST-0023","ST-SIG-0023","Signal","Signal & Telecommunication","LOC-004","Critical","Good","2026-06-27","2026-11-26","Maintenance In Progress"
"AST-0024","ST-AXC-0024","Axle Counter","Signal & Telecommunication","LOC-004","Medium","Fair","2026-07-04","2026-09-27","Operational"
"AST-0025","ENG-TRK-0025","Track","Engineering","LOC-005","High","Poor","2026-03-05","2026-10-03","Operational"
"AST-0026","ENG-TO-0026","Turnout","Engineering","LOC-005","High","Critical","2026-04-06","2026-11-04","Under Observation"
"AST-0027","TD-OHE-0027","OHE Mast","Traction Distribution","LOC-005","Critical","Good","2026-05-07","2026-09-05","Maintenance In Progress"
"AST-0028","TD-TSS-0028","Traction Substation","Traction Distribution","LOC-005","Medium","Fair","2026-06-08","2026-10-06","Operational"
"AST-0029","ST-SIG-0029","Signal","Signal & Telecommunication","LOC-005","High","Poor","2026-07-09","2026-11-07","Operational"
"AST-0030","ST-AXC-0030","Axle Counter","Signal & Telecommunication","LOC-005","High","Critical","2026-03-10","2026-09-08","Under Observation"
"AST-0031","ENG-TRK-0031","Track","Engineering","LOC-006","Critical","Good","2026-04-11","2026-10-09","Maintenance In Progress"
"AST-0032","ENG-TO-0032","Turnout","Engineering","LOC-006","Medium","Fair","2026-05-12","2026-11-10","Operational"
"AST-0033","TD-OHE-0033","OHE Mast","Traction Distribution","LOC-006","High","Poor","2026-06-13","2026-09-11","Operational"
"AST-0034","TD-TSS-0034","Traction Substation","Traction Distribution","LOC-006","High","Critical","2026-07-14","2026-10-12","Under Observation"
"AST-0035","ST-SIG-0035","Signal","Signal & Telecommunication","LOC-006","Critical","Good","2026-03-15","2026-11-13","Maintenance In Progress"
"AST-0036","ST-AXC-0036","Axle Counter","Signal & Telecommunication","LOC-006","Medium","Fair","2026-04-16","2026-09-14","Operational"
"AST-0037","ENG-TRK-0037","Track","Engineering","LOC-007","High","Poor","2026-05-17","2026-10-15","Operational"
"AST-0038","ENG-TO-0038","Turnout","Engineering","LOC-007","High","Critical","2026-06-18","2026-11-16","Under Observation"
"AST-0039","TD-OHE-0039","OHE Mast","Traction Distribution","LOC-007","Critical","Good","2026-07-19","2026-09-17","Maintenance In Progress"
"AST-0040","TD-TSS-0040","Traction Substation","Traction Distribution","LOC-007","Medium","Fair","2026-03-20","2026-10-18","Operational"
"AST-0041","ST-SIG-0041","Signal","Signal & Telecommunication","LOC-007","High","Poor","2026-04-21","2026-11-19","Operational"
