"task_id","asset_id","location_id","corridor","task_type","description","severity","failure_probability","asset_criticality","traffic_impact","estimated_duration_minutes","required_department","earliest_start","deadline","status","priority_score"
"TSK-0001","AST-0001","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Track at LOC-001","Medium","0.13","High","Medium","52","Engineering","2026-09-01 03:00:00","2026-09-04 03:00:00","Pending",""
"TSK-0002","AST-0001","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Track at LOC-001","Critical","0.14","High","High","69","Engineering","2026-09-01 06:00:00","2026-09-05 06:00:00","Pending",""
"TSK-0003","AST-0002","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Turnout at LOC-001","Critical","0.15","High","Low","86","Engineering","2026-09-01 09:00:00","2026-09-06 09:00:00","Pending",""
"TSK-0004","AST-0002","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Turnout at LOC-001","Medium","0.16","High","Medium","103","Engineering","2026-09-01 12:00:00","2026-09-07 12:00:00","Pending",""
"TSK-0005","AST-0003","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-001","Medium","0.17","Critical","High","49","Traction Distribution","2026-09-01 15:00:00","2026-09-08 15:00:00","Pending",""
"TSK-0006","AST-0003","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: OHE Mast at LOC-001","Critical","0.18","Critical","Low","66","Traction Distribution","2026-09-01 18:00:00","2026-09-09 18:00:00","Pending",""
"TSK-0007","AST-0004","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-001","Critical","0.19","Medium","Medium","83","Traction Distribution","2026-09-01 21:00:00","2026-09-10 21:00:00","Pending",""
"TSK-0008","AST-0004","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Inspection","Synthetic demo: Traction Substation at LOC-001","Medium","0.2","Medium","High","100","Traction Distribution","2026-09-02 00:00:00","2026-09-12 00:00:00","Pending",""
"TSK-0009","AST-0005","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Preventive Maintenance","Synthetic demo: Signal at LOC-001","Medium","0.21","High","Low","46","Signal & Telecommunication","2026-09-02 03:00:00","2026-09-13 03:00:00","Pending",""
"TSK-0010","AST-0005","LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Condition Monitoring","Synthetic demo: Signal at LOC-001","Critical","0.22","High","Medium","63","Signal & Telecommunication","2026-09-02 06:00:00","2026-09-14 06:00:00","Pending",""
