"train_id","train_number","train_name","corridor","scheduled_start","scheduled_end","priority"
"TRN-001","12001","Vijayawada Express Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-05 19:15:00","2026-09-05 21:20:00","High"
"TRN-002","12002","Vijayawada Freight Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-06 03:15:00","2026-09-06 05:50:00","Normal"
"TRN-003","12003","Vijayawada Passenger Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-01 06:15:00","2026-09-01 09:20:00","Normal"
"TRN-004","12004","Vijayawada Passenger Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-02 09:15:00","2026-09-02 12:50:00","Normal"
"TRN-005","12005","Vijayawada Express Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-03 12:15:00","2026-09-03 13:50:00","High"
"TRN-006","12006","Vijayawada Passenger Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-04 15:15:00","2026-09-04 17:20:00","Normal"
"TRN-007","12007","Vijayawada Freight Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-05 18:15:00","2026-09-05 20:50:00","Normal"
"TRN-008","12008","Vijayawada Passenger Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-06 21:15:00","2026-09-07 00:20:00","Normal"
"TRN-009","12009","Vijayawada Express Simulation Service","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-01 05:15:00","2026-09-01 08:50:00","High"
"TRN-010","12010","Itanagar Express Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-03 16:15:00","2026-09-03 17:50:00","High"
"TRN-011","12011","Itanagar Passenger Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-04 19:15:00","2026-09-04 21:20:00","Normal"
"TRN-012","12012","Itanagar Freight Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-05 03:15:00","2026-09-05 05:50:00","Normal"
"TRN-013","12013","Itanagar Passenger Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-06 06:15:00","2026-09-06 09:20:00","Normal"
"TRN-014","12014","Itanagar Express Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-01 09:15:00","2026-09-01 12:50:00","High"
"TRN-015","12015","Itanagar Passenger Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-02 12:15:00","2026-09-02 13:50:00","Normal"
"TRN-016","12016","Itanagar Passenger Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-03 15:15:00","2026-09-03 17:20:00","Normal"
"TRN-017","12017","Itanagar Freight Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-04 18:15:00","2026-09-04 20:50:00","Normal"
"TRN-018","12018","Itanagar Express Simulation Service","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-05 21:15:00","2026-09-06 00:20:00","High"
