"block_id","corridor","start_time","end_time","duration_minutes","capacity","status"
"BLK-001","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-002","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-003","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-004","Andhra Pradesh: Vijayawada-Visakhapatnam","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-005","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-006","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-007","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-008","Arunachal Pradesh: Itanagar-Naharlagun","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-009","Assam: Guwahati-Dibrugarh","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-010","Assam: Guwahati-Dibrugarh","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-011","Assam: Guwahati-Dibrugarh","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
"BLK-012","Assam: Guwahati-Dibrugarh","2026-09-08 00:00:00","2026-09-08 01:30:00","90","2","Available"
"BLK-013","Bihar: Patna-Gaya","2026-09-02 06:00:00","2026-09-02 08:00:00","120","3","Available"
"BLK-014","Bihar: Patna-Gaya","2026-09-04 00:00:00","2026-09-04 02:30:00","150","4","Available"
"BLK-015","Bihar: Patna-Gaya","2026-09-06 02:00:00","2026-09-06 03:30:00","90","2","Available"
"BLK-016","Bihar: Patna-Gaya","2026-09-08 01:00:00","2026-09-08 03:00:00","120","3","Available"
"BLK-017","Chhattisgarh: Raipur-Bilaspur","2026-09-02 06:00:00","2026-09-02 08:30:00","150","4","Available"
"BLK-018","Chhattisgarh: Raipur-Bilaspur","2026-09-04 01:00:00","2026-09-04 02:30:00","90","2","Available"
"BLK-019","Chhattisgarh: Raipur-Bilaspur","2026-09-06 00:00:00","2026-09-06 02:00:00","120","3","Available"
"BLK-020","Chhattisgarh: Raipur-Bilaspur","2026-09-08 02:00:00","2026-09-08 04:30:00","150","4","Available"
"BLK-021","Goa: Madgaon-Vasco","2026-09-02 06:00:00","2026-09-02 07:30:00","90","2","Available"
"BLK-022","Goa: Madgaon-Vasco","2026-09-04 02:00:00","2026-09-04 04:00:00","120","3","Available"
"BLK-023","Goa: Madgaon-Vasco","2026-09-06 01:00:00","2026-09-06 03:30:00","150","4","Available"
