asset_type,asset_condition,asset_criticality,asset_status,severity,task_type,traffic_impact,department,corridor,duration_minutes,simulated_failure_signal,days_since_maintenance,days_to_next_maintenance,deadline_hours,observation,failure_within_30_days
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,52.0,0.13,149,33,75.0,0,0
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,52.0,0.13,149,33,75.0,1,1
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,52.0,0.13,149,33,75.0,2,0
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,69.0,0.14,149,33,102.0,0,0
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,69.0,0.14,149,33,102.0,1,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,69.0,0.14,149,33,102.0,2,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,86.0,0.15,118,65,129.0,0,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,86.0,0.15,118,65,129.0,1,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,86.0,0.15,118,65,129.0,2,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,103.0,0.16,118,65,156.0,0,0
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,103.0,0.16,118,65,156.0,1,0
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,103.0,0.16,118,65,156.0,2,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,49.0,0.17,86,5,183.0,0,0
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,49.0,0.17,86,5,183.0,1,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,49.0,0.17,86,5,183.0,2,0
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,66.0,0.18,86,5,210.0,0,0
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,66.0,0.18,86,5,210.0,1,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,66.0,0.18,86,5,210.0,2,1
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,83.0,0.19,55,36,237.0,0,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,83.0,0.19,55,36,237.0,1,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,83.0,0.19,55,36,237.0,2,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,100.0,0.2,55,36,264.0,0,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,100.0,0.2,55,36,264.0,1,1
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Andhra Pradesh: Vijayawada-Visakhapatnam,100.0,0.2,55,36,264.0,2,1
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,46.0,0.21,176,68,291.0,0,0
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,46.0,0.21,176,68,291.0,1,1
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,46.0,0.21,176,68,291.0,2,1
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,63.0,0.22,176,68,318.0,0,1
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,63.0,0.22,176,68,318.0,1,1
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,63.0,0.22,176,68,318.0,2,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,80.0,0.23,144,8,345.0,0,0
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,80.0,0.23,144,8,345.0,1,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,80.0,0.23,144,8,345.0,2,1
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,97.0,0.24,144,8,372.0,0,1
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,97.0,0.24,144,8,372.0,1,1
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Andhra Pradesh: Vijayawada-Visakhapatnam,97.0,0.24,144,8,372.0,2,1
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,43.0,0.25,113,39,399.0,0,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,43.0,0.25,113,39,399.0,1,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Andhra Pradesh: Vijayawada-Visakhapatnam,43.0,0.25,113,39,399.0,2,0
