"location_id","corridor","state","kilometer","latitude","longitude"
"LOC-001","Andhra Pradesh: Vijayawada-Visakhapatnam","Andhra Pradesh","19.7","16.5062","80.648"
"LOC-002","Andhra Pradesh: Vijayawada-Visakhapatnam","Andhra Pradesh","63.9","16.74232","81.1621"
"LOC-003","Andhra Pradesh: Vijayawada-Visakhapatnam","Andhra Pradesh","103","16.97844","81.6762"
"LOC-004","Andhra Pradesh: Vijayawada-Visakhapatnam","Andhra Pradesh","147.2","17.21456","82.1903"
"LOC-005","Andhra Pradesh: Vijayawada-Visakhapatnam","Andhra Pradesh","191.4","17.45068","82.7044"
"LOC-006","Andhra Pradesh: Vijayawada-Visakhapatnam","Andhra Pradesh","230.5","17.6868","83.2185"
"LOC-007","Arunachal Pradesh: Itanagar-Naharlagun","Arunachal Pradesh","19.7","27.0844","93.6053"
"LOC-008","Arunachal Pradesh: Itanagar-Naharlagun","Arunachal Pradesh","63.9","27.08846","93.62328"
"LOC-009","Arunachal Pradesh: Itanagar-Naharlagun","Arunachal Pradesh","103","27.09252","93.64126"
"LOC-010","Arunachal Pradesh: Itanagar-Naharlagun","Arunachal Pradesh","147.2","27.09658","93.65924"
"LOC-011","Arunachal Pradesh: Itanagar-Naharlagun","Arunachal Pradesh","191.4","27.10064","93.67722"
"LOC-012","Arunachal Pradesh: Itanagar-Naharlagun","Arunachal Pradesh","230.5","27.1047","93.6952"
"LOC-013","Assam: Guwahati-Dibrugarh","Assam","19.7","26.1445","91.7362"
"LOC-014","Assam: Guwahati-Dibrugarh","Assam","63.9","26.41016","92.37136"
"LOC-015","Assam: Guwahati-Dibrugarh","Assam","103","26.67582","93.00652"
"LOC-016","Assam: Guwahati-Dibrugarh","Assam","147.2","26.94148","93.64168"
"LOC-017","Assam: Guwahati-Dibrugarh","Assam","191.4","27.20714","94.27684"
"LOC-018","Assam: Guwahati-Dibrugarh","Assam","230.5","27.4728","94.912"
"LOC-019","Bihar: Patna-Gaya","Bihar","19.7","25.5941","85.1376"
"LOC-020","Bihar: Patna-Gaya","Bihar","63.9","25.43438","85.11166"
"LOC-021","Bihar: Patna-Gaya","Bihar","103","25.27466","85.08572"
"LOC-022","Bihar: Patna-Gaya","Bihar","147.2","25.11494","85.05978"
"LOC-023","Bihar: Patna-Gaya","Bihar","191.4","24.95522","85.03384"
"LOC-024","Bihar: Patna-Gaya","Bihar","230.5","24.7955","85.0079"
"LOC-025","Chhattisgarh: Raipur-Bilaspur","Chhattisgarh","19.7","21.2514","81.6296"
"LOC-026","Chhattisgarh: Raipur-Bilaspur","Chhattisgarh","63.9","21.41706","81.73186"
"LOC-027","Chhattisgarh: Raipur-Bilaspur","Chhattisgarh","103","21.58272","81.83412"
"LOC-028","Chhattisgarh: Raipur-Bilaspur","Chhattisgarh","147.2","21.74838","81.93638"
"LOC-029","Chhattisgarh: Raipur-Bilaspur","Chhattisgarh","191.4","21.91404","82.03864"
